timestamp,distance,zone,battery
2026-04-29 03:08:20,63.3,WARNING,80
2026-04-29 03:08:21,62.9,WARNING,80
2026-04-29 03:08:21,63.8,WARNING,80
2026-04-29 03:08:22,63.3,WARNING,80
2026-04-29 03:08:22,63.3,WARNING,80
2026-04-29 03:08:23,62.9,WARNING,80
2026-04-29 03:08:24,62.9,WARNING,80
2026-04-29 03:08:24,62.9,WARNING,80
2026-04-29 03:08:24,63.8,WARNING,80
2026-04-29 03:08:25,63.8,WARNING,80
2026-04-29 03:08:25,62.9,WARNING,80
2026-04-29 03:08:26,62.9,WARNING,79
2026-04-29 03:08:26,63.8,WARNING,79
2026-04-29 03:08:27,62.9,WARNING,79
2026-04-29 03:08:27,62.9,WARNING,79
2026-04-29 03:08:28,63.7,WARNING,79
2026-04-29 03:08:28,126.8,SAFE,79
2026-04-29 03:08:31,128.9,SAFE,79
2026-04-29 03:08:32,126.8,SAFE,79
2026-04-29 03:08:34,127.2,SAFE,79
2026-04-29 03:08:34,63.4,WARNING,79
2026-04-29 03:08:35,62.9,WARNING,79
2026-04-29 03:08:35,63.4,WARNING,79
2026-04-29 03:08:36,62.9,WARNING,79
2026-04-29 03:08:36,62.9,WARNING,79
2026-04-29 03:08:37,63.3,WARNING,79
2026-04-29 03:08:37,62.9,WARNING,79
2026-04-29 03:08:38,63.8,WARNING,79
2026-04-29 03:08:38,63.4,WARNING,79
2026-04-29 03:08:39,62.9,WARNING,79
2026-04-29 03:08:39,62.9,WARNING,79
2026-04-29 03:08:40,62.9,WARNING,79
2026-04-29 03:08:40,62.9,WARNING,79
